2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<=50K,>50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age,real,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
workclass,8,Private,Self-emp-not-inc,Self-emp-inc,Federal-gov,Local-gov,State-gov,Without-pay,Never-worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fnlwgt,real,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
education,16,Bachelors,Some-college,11th,HS-grad,Prof-school,Assoc-acdm,Assoc-voc,9th,7th-8th,12th,Masters,1st-4th,10th,Doctorate,5th-6th,Preschool,,,,,,,,,,,,,,,,,,,,,,,,,
27,Private,208703,HS-grad,9,Never-married,Protective-serv,Own-child,White,Male,0,0,40,Japan,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Local-gov,98130,Bachelors,13,Divorced,Prof-specialty,Own-child,White,Female,0,0,39,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Self-emp-inc,257200,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Local-gov,134444,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,72,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Local-gov,123382,Assoc-voc,11,Separated,Prof-specialty,Unmarried,Black,Female,0,0,35,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Private,484475,11th,7,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,40,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Private,476391,Some-college,10,Divorced,Farming-fishing,Not-in-family,White,Female,0,0,40,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Private,198203,Some-college,10,Married-spouse-absent,Other-service,Not-in-family,Black,Female,0,0,40,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Local-gov,215419,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,State-gov,151322,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Private,249550,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,44,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Self-emp-not-inc,109766,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,50,United-States,>50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Self-emp-not-inc,102058,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Private,117606,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Private,123429,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Private,248533,Some-college,10,Never-married,Sales,Other-relative,Black,Female,0,0,40,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Private,203894,Some-college,10,Never-married,Transport-moving,Not-in-family,White,Female,0,0,24,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Private,37618,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,?,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Self-emp-not-inc,120539,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,3103,0,40,United-States,>50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Private,186183,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Private,165226,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Private,53063,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,?,367655,Some-college,10,Never-married,?,Own-child,White,Male,0,0,40,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Local-gov,319054,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,60,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Self-emp-not-inc,227858,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0,48,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Self-emp-not-inc,396758,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1887,70,United-States,>50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Private,176012,9th,5,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,23,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Self-emp-inc,140319,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,50,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Private,45093,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,70,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Private,204042,Some-college,10,Never-married,Transport-moving,Not-in-family,White,Male,0,0,55,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Private,30008,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Private,642830,HS-grad,9,Divorced,Protective-serv,Not-in-family,White,Female,0,0,32,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Private,162432,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Self-emp-not-inc,242184,7th-8th,4,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,>50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,?,153072,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,5,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Self-emp-not-inc,163293,Prof-school,15,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,2,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Private,88126,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Private,383518,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Black,Female,99999,0,40,United-States,>50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Private,401051,10th,6,Never-married,Sales,Own-child,White,Female,0,0,35,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Self-emp-not-inc,172370,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,25,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Private,324546,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,39,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Private,31368,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Private,221366,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,5013,0,40,Germany,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Self-emp-not-inc,226505,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Private,230568,Bachelors,13,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,>50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Private,199307,Some-college,10,Divorced,Craft-repair,Unmarried,White,Female,0,0,48,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Private,191260,11th,7,Never-married,Other-service,Own-child,White,Male,594,0,10,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Private,133471,Some-college,10,Never-married,Exec-managerial,Own-child,White,Male,0,0,40,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Private,190143,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Private,246677,HS-grad,9,Separated,Prof-specialty,Unmarried,White,Female,0,0,38,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Private,213226,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,0,0,50,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Private,342768,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,?,203834,Bachelors,13,Never-married,?,Not-in-family,Asian-Pac-Islander,Female,0,0,50,Taiwan,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Self-emp-not-inc,123983,Some-college,10,Married-civ-spouse,Sales,Own-child,Asian-Pac-Islander,Male,0,0,63,South,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Private,182828,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,45,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Private,183096,Some-college,10,Separated,Sales,Unmarried,White,Female,0,0,10,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Private,123584,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,75,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Private,152652,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,65,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,?,128538,Some-college,10,Never-married,?,Own-child,White,Female,0,0,6,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,State-gov,338816,Masters,14,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,70,United-States,>50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Private,434102,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Private,343403,Assoc-acdm,12,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,16,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Private,361138,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,White,Male,0,0,50,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Private,176839,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,50,United-States,>50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Local-gov,86551,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,1876,40,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Private,50018,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,?,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Private,243762,11th,7,Separated,Craft-repair,Unmarried,White,Female,0,0,40,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Private,193568,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Private,402778,9th,5,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,12,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Private,193106,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,32,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Private,31264,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,35,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Private,140516,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Private,299505,HS-grad,9,Separated,Craft-repair,Not-in-family,Black,Male,0,0,40,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Private,267161,Some-college,10,Married-civ-spouse,Tech-support,Wife,Black,Female,0,0,45,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Private,187730,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Private,53833,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,42,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Private,254973,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Wife,White,Female,0,0,40,United-States,>50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Private,346975,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,7688,0,36,United-States,>50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,?,168863,Some-college,10,Never-married,?,Own-child,White,Female,0,0,20,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Private,215389,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,48,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Private,99434,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,12,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Private,400630,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,36,United-States,>50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Federal-gov,33487,Some-college,10,Divorced,Tech-support,Unmarried,Amer-Indian-Eskimo,Female,0,0,20,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Self-emp-not-inc,112137,Some-college,10,Never-married,Prof-specialty,Other-relative,Asian-Pac-Islander,Female,0,0,20,South,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Private,346693,7th-8th,4,Never-married,Farming-fishing,Unmarried,White,Male,0,0,40,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Private,38950,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,89,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Private,174395,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Private,716066,10th,6,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,30,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Private,109080,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Private,487486,HS-grad,9,Widowed,Handlers-cleaners,Unmarried,White,Male,0,0,40,?,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Private,176262,Some-college,10,Never-married,Exec-managerial,Own-child,White,Female,0,0,30,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Private,239439,HS-grad,9,Separated,Machine-op-inspct,Own-child,Black,Female,0,0,40,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Private,110668,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,Black,Female,0,0,35,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Private,192381,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,>50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Private,135339,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,2105,0,40,Vietnam,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,State-gov,343646,Bachelors,13,Divorced,Protective-serv,Not-in-family,White,Male,0,0,40,Mexico,>50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Self-emp-not-inc,198692,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,>50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Private,135520,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,Dominican-Republic,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Private,49092,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Federal-gov,216129,HS-grad,9,Never-married,Adm-clerical,Other-relative,White,Male,0,0,40,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Private,33001,HS-grad,9,Divorced,Farming-fishing,Unmarried,White,Male,0,0,50,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Private,177929,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,48,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Private,132686,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Private,347166,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,60,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Private,118941,11th,7,Never-married,Other-service,Not-in-family,White,Female,0,0,40,Ireland,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Private,42703,Assoc-voc,11,Divorced,Craft-repair,Unmarried,White,Female,0,0,40,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Private,423250,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Local-gov,238188,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,35,United-States,>50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Local-gov,116666,HS-grad,9,Never-married,Protective-serv,Own-child,Amer-Indian-Eskimo,Male,4650,0,48,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Private,194772,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,0,1902,40,United-States,>50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Private,98941,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Private,186159,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Self-emp-not-inc,240172,Masters,14,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Private,147206,12th,8,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,>50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Self-emp-not-inc,31095,Some-college,10,Separated,Farming-fishing,Not-in-family,White,Male,4101,0,60,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Private,115323,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Private,163237,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,52,United-States,>50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Private,168837,Some-college,10,Divorced,Sales,Unmarried,White,Female,0,0,40,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Private,205822,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Private,99309,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Private,403865,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,56,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,?,112683,HS-grad,9,Never-married,?,Not-in-family,White,Female,0,0,32,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Private,185670,1st-4th,2,Widowed,Prof-specialty,Unmarried,White,Female,0,0,21,Mexico,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Private,186991,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Private,215917,Some-college,10,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0,0,40,Philippines,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Private,57600,HS-grad,9,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,45,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Private,105044,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,42,United-States,>50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Local-gov,167159,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,50,United-States,>50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Private,140426,1st-4th,2,Married-spouse-absent,Other-service,Not-in-family,White,Male,0,0,35,?,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Self-emp-not-inc,202560,Some-college,10,Never-married,Prof-specialty,Own-child,White,Female,0,0,35,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Private,156819,Assoc-acdm,12,Divorced,Prof-specialty,Unmarried,White,Female,0,0,35,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Self-emp-not-inc,127961,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,45,United-States,>50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,State-gov,112074,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,45,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Private,118717,Bachelors,13,Divorced,Prof-specialty,Not-in-family,Black,Female,0,0,40,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Private,174907,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,?,213149,Some-college,10,Married-civ-spouse,?,Husband,White,Male,0,1825,40,United-States,>50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Private,173858,7th-8th,4,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,0,0,42,Cambodia,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Self-emp-not-inc,35166,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,90,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Self-emp-not-inc,106538,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Private,167062,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Male,0,0,40,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Private,132686,HS-grad,9,Divorced,Machine-op-inspct,Unmarried,White,Male,0,0,40,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Private,252153,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0,28,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Self-emp-not-inc,198841,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,State-gov,255830,Assoc-acdm,12,Never-married,Adm-clerical,Own-child,Black,Female,0,0,45,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Self-emp-not-inc,191503,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,?,234970,Some-college,10,Never-married,?,Own-child,Black,Female,0,0,40,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Local-gov,105717,Masters,14,Never-married,Adm-clerical,Not-in-family,White,Female,0,1876,35,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Private,208415,HS-grad,9,Divorced,Exec-managerial,Not-in-family,Black,Male,0,0,40,?,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Private,218887,HS-grad,9,Never-married,Farming-fishing,Unmarried,White,Female,0,0,35,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Private,342752,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,20,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Private,212800,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Private,144521,HS-grad,9,Never-married,Other-service,Own-child,Black,Female,0,0,40,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Private,208463,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,20,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Private,20438,Some-college,10,Separated,Exec-managerial,Unmarried,Amer-Indian-Eskimo,Female,0,0,15,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Private,241360,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,?,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Self-emp-not-inc,192203,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1485,40,United-States,>50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Private,204862,Assoc-acdm,12,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,36,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Private,200471,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,United-States,>50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Private,233851,Bachelors,13,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
